,年度,球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁死,犠打,犠飛,四球,敬遠,死球,三振,併殺打,打率,出塁率,長打率,OPS,player_id
3,2022,楽天,71,182,145,10,31,4,0,3,44.0,18,1,0.0,13,0,21,1.0,3,46,3,0.214,0.325,0.303,0.629,0dc819bf-05da-48c3-b71e-12f2b962fc72
4,通算：4年,通算：4年,300,739,611,62,123,20,0,10,173.0,63,3,2.0,48,4,63,1.0,13,171,9,0.201,0.288,0.283,0.571,0dc819bf-05da-48c3-b71e-12f2b962fc72
0,2006,西武,54,146,138,10,25,4,1,3,40.0,14,0,0.0,6,0,2,0.0,0,33,6,0.181,0.193,0.29,0.483,6dd89a93-b7a0-4156-a535-98b2931d3934
1,2007,西武,28,50,46,3,8,1,1,1,14.0,7,0,0.0,1,1,2,0.0,0,19,0,0.174,0.204,0.304,0.508,6dd89a93-b7a0-4156-a535-98b2931d3934
2,2008,西武,46,68,64,5,8,4,0,0,12.0,5,0,1.0,1,1,2,0.0,0,30,0,0.125,0.149,0.188,0.337,6dd89a93-b7a0-4156-a535-98b2931d3934
3,2009,西武,112,306,273,22,60,15,0,3,84.0,25,1,0.0,14,3,15,1.0,1,75,5,0.22,0.26,0.308,0.568,6dd89a93-b7a0-4156-a535-98b2931d3934
4,2010,西武,1,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,6dd89a93-b7a0-4156-a535-98b2931d3934
5,2011,西武,122,365,317,20,69,7,1,2,84.0,22,4,1.0,33,3,11,0.0,1,79,6,0.218,0.244,0.265,0.509,6dd89a93-b7a0-4156-a535-98b2931d3934
6,2012,西武,139,414,360,23,70,12,1,0,84.0,23,0,2.0,35,1,17,0.0,1,74,9,0.194,0.232,0.233,0.466,6dd89a93-b7a0-4156-a535-98b2931d3934
7,2013,西武,141,468,413,28,89,16,0,5,120.0,43,1,2.0,19,2,30,2.0,4,62,14,0.215,0.274,0.291,0.564,6dd89a93-b7a0-4156-a535-98b2931d3934
8,2014,西武,125,423,381,31,77,13,1,7,113.0,36,0,2.0,20,3,17,0.0,2,74,10,0.202,0.238,0.297,0.535,6dd89a93-b7a0-4156-a535-98b2931d3934
9,2015,西武,133,443,399,31,84,16,0,4,112.0,35,0,0.0,22,2,16,0.0,4,87,7,0.211,0.247,0.281,0.528,6dd89a93-b7a0-4156-a535-98b2931d3934
10,2016,西武,117,326,294,19,64,10,1,1,79.0,22,0,1.0,19,0,13,0.0,0,48,12,0.218,0.251,0.269,0.52,6dd89a93-b7a0-4156-a535-98b2931d3934
11,2017,西武,104,310,267,32,67,11,0,5,93.0,30,2,1.0,23,4,8,0.0,8,45,6,0.251,0.289,0.348,0.638,6dd89a93-b7a0-4156-a535-98b2931d3934
12,2018,西武,47,135,129,10,32,8,0,0,40.0,9,0,0.0,3,0,2,0.0,1,30,3,0.248,0.265,0.31,0.575,6dd89a93-b7a0-4156-a535-98b2931d3934
13,2019,巨人,58,138,126,17,33,4,0,6,55.0,26,0,0.0,2,1,7,1.0,2,28,4,0.262,0.309,0.437,0.746,6dd89a93-b7a0-4156-a535-98b2931d3934
14,2020,巨人,56,114,100,4,18,2,0,1,23.0,7,0,0.0,3,1,8,2.0,2,23,3,0.18,0.252,0.23,0.482,6dd89a93-b7a0-4156-a535-98b2931d3934
15,2021,巨人,44,54,48,4,9,0,0,1,12.0,7,0,0.0,1,1,4,1.0,0,17,0,0.188,0.245,0.25,0.495,6dd89a93-b7a0-4156-a535-98b2931d3934
16,2021,楽天,51,124,105,11,23,3,0,3,35.0,8,0,1.0,10,1,7,0.0,1,24,3,0.219,0.272,0.333,0.605,6dd89a93-b7a0-4156-a535-98b2931d3934
17,'21計,楽天,95,178,153,15,32,3,0,4,47.0,15,0,1.0,11,2,11,1.0,1,41,3,0.209,0.264,0.307,0.571,6dd89a93-b7a0-4156-a535-98b2931d3934
18,2022,楽天,98,288,253,21,60,4,0,4,76.0,18,0,3.0,15,0,18,0.0,2,52,10,0.237,0.293,0.3,0.593,6dd89a93-b7a0-4156-a535-98b2931d3934
19,通算：17年,通算：17年,1476,4173,3714,291,796,130,6,46,1076.0,337,8,14.0,227,24,179,7.0,29,800,98,0.214,0.254,0.29,0.544,6dd89a93-b7a0-4156-a535-98b2931d3934
0,2018,巨人,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,----,----,----,----,b2293657-7e27-48fa-95c8-3832966c3621
1,2019,巨人,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,----,----,----,----,b2293657-7e27-48fa-95c8-3832966c3621
2,2020,楽天,9,18,15,5,6,0,0,1,9.0,4,0,0.0,2,0,1,0.0,0,7,0,.400,.438,.600,1.038,b2293657-7e27-48fa-95c8-3832966c3621
3,2021,楽天,31,43,38,2,10,2,0,2,18.0,3,0,0.0,2,0,3,0.0,0,9,0,.263,.317,.474,.791,b2293657-7e27-48fa-95c8-3832966c3621
4,2022,楽天,18,19,17,2,2,0,0,0,2.0,1,0,0.0,0,0,1,0.0,1,7,0,.118,.211,.118,.328,b2293657-7e27-48fa-95c8-3832966c3621
5,通算：5年,通算：5年,60,80,70,9,18,2,0,3,29.0,8,0,0.0,4,0,5,0.0,1,23,0,.257,.316,.414,.730,b2293657-7e27-48fa-95c8-3832966c3621
0,2022,楽天,5,12,10,2,2,0,0,1,5.0,1,0,0.0,0,0,2,0.0,0,4,1,0.2,0.333,0.5,0.833,1e158de8-359b-4049-b486-064acc61705d
1,通算：1年,通算：1年,5,12,10,2,2,0,0,1,5.0,1,0,0.0,0,0,2,0.0,0,4,1,0.2,0.333,0.5,0.833,1e158de8-359b-4049-b486-064acc61705d
0,2018,楽天,12,24,23,3,4,0,1,0,6.0,2,1,0.0,0,0,1,0.0,0,1,0,0.174,0.208,0.261,0.469,7f547673-44b0-464e-942b-10f11bbee1e1
1,2019,楽天,65,140,122,6,19,2,2,0,25.0,13,0,0.0,11,0,5,1.0,2,41,2,0.156,0.202,0.205,0.406,7f547673-44b0-464e-942b-10f11bbee1e1
2,2020,楽天,10,8,7,0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0,4,0,0.0,0.0,0.0,0.0,7f547673-44b0-464e-942b-10f11bbee1e1
3,2022,楽天,5,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,7f547673-44b0-464e-942b-10f11bbee1e1
4,通算：4年,通算：4年,92,173,153,9,23,2,3,0,31.0,15,1,0.0,12,0,6,1.0,2,46,2,0.15,0.193,0.203,0.395,7f547673-44b0-464e-942b-10f11bbee1e1
0,2018,楽天,4,5,5,1,1,0,0,0,1.0,0,1,0.0,0,0,0,0.0,0,2,0,0.2,0.2,0.2,0.4,e0febc3f-500d-4b46-b14d-542094f8d2e8
1,2019,楽天,4,7,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,5,0,0.0,0.0,0.0,0.0,e0febc3f-500d-4b46-b14d-542094f8d2e8
2,2020,楽天,18,24,23,1,4,1,0,0,5.0,1,0,0.0,1,0,0,0.0,0,13,0,0.174,0.174,0.217,0.391,e0febc3f-500d-4b46-b14d-542094f8d2e8
3,2022,楽天,1,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,e0febc3f-500d-4b46-b14d-542094f8d2e8
4,通算：4年,通算：4年,27,37,36,2,5,1,0,0,6.0,1,1,0.0,1,0,0,0.0,0,20,0,0.139,0.139,0.167,0.306,e0febc3f-500d-4b46-b14d-542094f8d2e8
